initialRegeneration,time,Down > 0
Up Clock @ error|0 waitClock|0,49.5,0.000090560
Up Clock @ error|0 waitClock|0,50.0,0.000094058
Up Clock @ error|0 waitClock|0,50.5,0.000097652
Up Clock @ error|0 waitClock|0,51.0,0.000101343
Up Clock @ error|0 waitClock|0,51.5,0.000105133
Up Clock @ error|0 waitClock|0,52.0,0.000109025
Up Clock @ error|0 waitClock|0,52.5,0.000113018
Up Clock @ error|0 waitClock|0,53.0,0.000117116
Up Clock @ error|0 waitClock|0,53.5,0.000121319
Up Clock @ error|0 waitClock|0,54.0,0.000125628
Up Clock @ error|0 waitClock|0,54.5,0.000130047
Up Clock @ error|0 waitClock|0,55.0,0.000134576
Up Clock @ error|0 waitClock|0,55.5,0.000139216
Up Clock @ error|0 waitClock|0,56.0,0.000143970
Up Clock @ error|0 waitClock|0,56.5,0.000148839
Up Clock @ error|0 waitClock|0,57.0,0.000153824
Up Clock @ error|0 waitClock|0,57.5,0.000158928
Up Clock @ error|0 waitClock|0,58.0,0.000164151
Up Clock @ error|0 waitClock|0,58.5,0.000169496
Up Clock @ error|0 waitClock|0,59.0,0.000174964
Up Clock @ error|0 waitClock|0,59.5,0.000180557
Up Clock @ error|0 waitClock|0,60.0,0.000186275
Up Clock @ error|0 waitClock|0,60.5,0.000192122
Up Clock @ error|0 waitClock|0,61.0,0.000198098
Up Clock @ error|0 waitClock|0,61.5,0.000204206
Up Clock @ error|0 waitClock|0,62.0,0.000210446
Up Clock @ error|0 waitClock|0,62.5,0.000216821
Up Clock @ error|0 waitClock|0,63.0,0.000223332
Up Clock @ error|0 waitClock|0,63.5,0.000229980
Up Clock @ error|0 waitClock|0,64.0,0.000236768
Up Clock @ error|0 waitClock|0,64.5,0.000243697
Up Clock @ error|0 waitClock|0,65.0,0.000250769
Up Clock @ error|0 waitClock|0,65.5,0.000257985
Up Clock @ error|0 waitClock|0,66.0,0.000265347
Up Clock @ error|0 waitClock|0,66.5,0.000272856
