initialRegeneration,time,Down > 0
Up Clock @ error|0 waitClock|0,9.9,0.000000174
Up Clock @ error|0 waitClock|0,10.0,0.000000181
Up Clock @ error|0 waitClock|0,10.1,0.000000189
Up Clock @ error|0 waitClock|0,10.2,0.000000196
Up Clock @ error|0 waitClock|0,10.3,0.000000204
Up Clock @ error|0 waitClock|0,10.4,0.000000212
Up Clock @ error|0 waitClock|0,10.5,0.000000220
Up Clock @ error|0 waitClock|0,10.6,0.000000228
Up Clock @ error|0 waitClock|0,10.7,0.000000237
Up Clock @ error|0 waitClock|0,10.8,0.000000246
Up Clock @ error|0 waitClock|0,10.9,0.000000255
Up Clock @ error|0 waitClock|0,11.0,0.000000264
Up Clock @ error|0 waitClock|0,11.1,0.000000274
Up Clock @ error|0 waitClock|0,11.2,0.000000284
Up Clock @ error|0 waitClock|0,11.3,0.000000294
Up Clock @ error|0 waitClock|0,11.4,0.000000304
Up Clock @ error|0 waitClock|0,11.5,0.000000315
Up Clock @ error|0 waitClock|0,11.6,0.000000326
Up Clock @ error|0 waitClock|0,11.7,0.000000337
Up Clock @ error|0 waitClock|0,11.8,0.000000349
Up Clock @ error|0 waitClock|0,11.9,0.000000361
Up Clock @ error|0 waitClock|0,12.0,0.000000373
Up Clock @ error|0 waitClock|0,12.1,0.000000385
Up Clock @ error|0 waitClock|0,12.2,0.000000398
Up Clock @ error|0 waitClock|0,12.3,0.000000411
Up Clock @ error|0 waitClock|0,12.4,0.000000424
Up Clock @ error|0 waitClock|0,12.5,0.000000438
Up Clock @ error|0 waitClock|0,12.6,0.000000452
Up Clock @ error|0 waitClock|0,12.7,0.000000466
Up Clock @ error|0 waitClock|0,12.8,0.000000481
Up Clock @ error|0 waitClock|0,12.9,0.000000496
Up Clock @ error|0 waitClock|0,13.0,0.000000511
Up Clock @ error|0 waitClock|0,13.1,0.000000527
Up Clock @ error|0 waitClock|0,13.2,0.000000543
Up Clock @ error|0 waitClock|0,13.3,0.000000559
Up Clock @ error|0 waitClock|0,13.4,0.000000576
Up Clock @ error|0 waitClock|0,13.5,0.000000593
Up Clock @ error|0 waitClock|0,13.6,0.000000610
Up Clock @ error|0 waitClock|0,13.7,0.000000628
Up Clock @ error|0 waitClock|0,13.8,0.000000646
Up Clock @ error|0 waitClock|0,13.9,0.000000665
Up Clock @ error|0 waitClock|0,14.0,0.000000684
Up Clock @ error|0 waitClock|0,14.1,0.000000703
Up Clock @ error|0 waitClock|0,14.2,0.000000723
Up Clock @ error|0 waitClock|0,14.3,0.000000743
Up Clock @ error|0 waitClock|0,14.4,0.000000764
Up Clock @ error|0 waitClock|0,14.5,0.000000785
Up Clock @ error|0 waitClock|0,14.6,0.000000807
Up Clock @ error|0 waitClock|0,14.7,0.000000829
Up Clock @ error|0 waitClock|0,14.8,0.000000851
Up Clock @ error|0 waitClock|0,14.9,0.000000874
Up Clock @ error|0 waitClock|0,15.0,0.000000897
Up Clock @ error|0 waitClock|0,15.1,0.000000921
Up Clock @ error|0 waitClock|0,15.2,0.000000945
Up Clock @ error|0 waitClock|0,15.3,0.000000970
Up Clock @ error|0 waitClock|0,15.4,0.000000995
Up Clock @ error|0 waitClock|0,15.5,0.000001020
Up Clock @ error|0 waitClock|0,15.6,0.000001047
Up Clock @ error|0 waitClock|0,15.7,0.000001073
Up Clock @ error|0 waitClock|0,15.8,0.000001100
Up Clock @ error|0 waitClock|0,15.9,0.000001128
Up Clock @ error|0 waitClock|0,16.0,0.000001156
Up Clock @ error|0 waitClock|0,16.1,0.000001185
Up Clock @ error|0 waitClock|0,16.2,0.000001214
Up Clock @ error|0 waitClock|0,16.3,0.000001243
Up Clock @ error|0 waitClock|0,16.4,0.000001274
Up Clock @ error|0 waitClock|0,16.5,0.000001304
Up Clock @ error|0 waitClock|0,16.6,0.000001336
Up Clock @ error|0 waitClock|0,16.7,0.000001367
Up Clock @ error|0 waitClock|0,16.8,0.000001400
Up Clock @ error|0 waitClock|0,16.9,0.000001433
Up Clock @ error|0 waitClock|0,17.0,0.000001466
Up Clock @ error|0 waitClock|0,17.1,0.000001500
Up Clock @ error|0 waitClock|0,17.2,0.000001535
Up Clock @ error|0 waitClock|0,17.3,0.000001570
Up Clock @ error|0 waitClock|0,17.4,0.000001606
Up Clock @ error|0 waitClock|0,17.5,0.000001643
Up Clock @ error|0 waitClock|0,17.6,0.000001680
Up Clock @ error|0 waitClock|0,17.7,0.000001717
Up Clock @ error|0 waitClock|0,17.8,0.000001756
Up Clock @ error|0 waitClock|0,17.9,0.000001795
Up Clock @ error|0 waitClock|0,18.0,0.000001834
Up Clock @ error|0 waitClock|0,18.1,0.000001874
