period,unavailability,undetectedFailure,useless,averageReward
2910.000,0.007968889,0.001818958,0.000024620,0.004893923
2940.000,0.007971136,0.001819802,0.000023192,0.004895469
2970.000,0.007973258,0.001820599,0.000021845,0.004896929
3000.000,0.007975262,0.001821352,0.000020576,0.004898307
3030.000,0.007977154,0.001822061,0.000019380,0.004899607
3060.000,0.007978939,0.001822731,0.000018252,0.004900835
3090.000,0.007980625,0.001823363,0.000017190,0.004901994
3120.000,0.007982216,0.001823959,0.000016188,0.004903087
3150.000,0.007983718,0.001824521,0.000015244,0.004904119
3180.000,0.007985135,0.001825051,0.000014355,0.004905093
3210.000,0.007986472,0.001825551,0.000013516,0.004906011
3240.000,0.007987734,0.001826022,0.000012727,0.004906878
3270.000,0.007988924,0.001826467,0.000011982,0.004907695
3300.000,0.007990047,0.001826886,0.000011281,0.004908466
3330.000,0.007991106,0.001827281,0.000010621,0.004909193
3360.000,0.007992104,0.001827654,0.000009999,0.004909879
3390.000,0.007993046,0.001828005,0.000009412,0.004910526
3420.000,0.007993935,0.001828336,0.000008860,0.004911135
3450.000,0.007994772,0.001828648,0.000008340,0.004911710
3480.000,0.007995562,0.001828942,0.000007850,0.004912252
3510.000,0.007996306,0.001829219,0.000007389,0.004912763
3540.000,0.007997008,0.001829481,0.000006954,0.004913244
3570.000,0.007997670,0.001829727,0.000006545,0.004913698
3600.000,0.007998293,0.001829959,0.000006160,0.004914126
3630.000,0.007998881,0.001830177,0.000005797,0.004914529
3660.000,0.007999435,0.001830383,0.000005455,0.004914909
3690.000,0.007999957,0.001830577,0.000005134,0.004915267
3720.000,0.008000449,0.001830760,0.000004831,0.004915604
3750.000,0.008000913,0.001830932,0.000004546,0.004915922
3780.000,0.008001349,0.001831094,0.000004277,0.004916222
3810.000,0.008001761,0.001831246,0.000004025,0.004916504
3840.000,0.008002149,0.001831390,0.000003787,0.004916769
3870.000,0.008002514,0.001831526,0.000003563,0.004917020
3900.000,0.008002858,0.001831653,0.000003352,0.004917255
3930.000,0.008003182,0.001831773,0.000003154,0.004917477
3960.000,0.008003487,0.001831886,0.000002967,0.004917687
3990.000,0.008003774,0.001831993,0.000002791,0.004917884
4020.000,0.008004045,0.001832093,0.000002626,0.004918069
4050.000,0.008004300,0.001832187,0.000002470,0.004918244
4080.000,0.008004540,0.001832276,0.000002323,0.004918408
4110.000,0.008004766,0.001832360,0.000002185,0.004918563
4140.000,0.008004979,0.001832439,0.000002056,0.004918709
4170.000,0.008005179,0.001832513,0.000001934,0.004918846
4200.000,0.008005368,0.001832582,0.000001819,0.004918975
4230.000,0.008005546,0.001832648,0.000001711,0.004919097
4260.000,0.008005713,0.001832710,0.000001609,0.004919211
4290.000,0.008005870,0.001832768,0.000001513,0.004919319
4320.000,0.008006018,0.001832823,0.000001423,0.004919421
