period,unavailability,undetectedFailure,useless,averageReward
2910.000,0.008016860,0.001818294,0.000075057,0.004917577
2940.000,0.008017075,0.001818972,0.000072335,0.004918023
2970.000,0.008017282,0.001819624,0.000069714,0.004918453
3000.000,0.008017482,0.001820253,0.000067191,0.004918867
3030.000,0.008017674,0.001820858,0.000064763,0.004919266
3060.000,0.008017859,0.001821441,0.000062424,0.004919650
3090.000,0.008018037,0.001822002,0.000060172,0.004920019
3120.000,0.008018208,0.001822542,0.000058004,0.004920375
3150.000,0.008018374,0.001823062,0.000055915,0.004920718
3180.000,0.008018533,0.001823563,0.000053904,0.004921048
3210.000,0.008018687,0.001824046,0.000051967,0.004921366
3240.000,0.008018834,0.001824511,0.000050101,0.004921673
3270.000,0.008018977,0.001824959,0.000048303,0.004921968
3300.000,0.008019114,0.001825390,0.000046572,0.004922252
3330.000,0.008019246,0.001825806,0.000044903,0.004922526
3360.000,0.008019374,0.001826206,0.000043296,0.004922790
3390.000,0.008019496,0.001826592,0.000041747,0.004923044
3420.000,0.008019615,0.001826964,0.000040255,0.004923289
3450.000,0.008019729,0.001827322,0.000038817,0.004923526
3480.000,0.008019839,0.001827668,0.000037431,0.004923753
3510.000,0.008019944,0.001828000,0.000036096,0.004923972
3540.000,0.008020047,0.001828321,0.000034809,0.004924184
3570.000,0.008020145,0.001828630,0.000033568,0.004924388
3600.000,0.008020240,0.001828928,0.000032373,0.004924584
3630.000,0.008020331,0.001829215,0.000031220,0.004924773
3660.000,0.008020419,0.001829492,0.000030109,0.004924956
3690.000,0.008020504,0.001829759,0.000029039,0.004925132
3720.000,0.008020586,0.001830016,0.000028006,0.004925301
3750.000,0.008020665,0.001830264,0.000027011,0.004925465
3780.000,0.008020741,0.001830503,0.000026052,0.004925622
3810.000,0.008020814,0.001830733,0.000025127,0.004925774
3840.000,0.008020885,0.001830956,0.000024236,0.004925920
3870.000,0.008020956,0.001831171,0.000023376,0.004926063
3900.000,0.008021022,0.001831377,0.000022547,0.004926199
3930.000,0.008021085,0.001831576,0.000021748,0.004926331
3960.000,0.008021146,0.001831768,0.000020978,0.004926457
3990.000,0.008021205,0.001831953,0.000020235,0.004926579
4020.000,0.008021261,0.001832132,0.000019518,0.004926696
4050.000,0.008021316,0.001832304,0.000018827,0.004926810
4080.000,0.008021369,0.001832470,0.000018161,0.004926919
4110.000,0.008021419,0.001832630,0.000017519,0.004927024
4140.000,0.008021468,0.001832784,0.000016899,0.004927126
4170.000,0.008021516,0.001832933,0.000016302,0.004927224
4200.000,0.008021561,0.001833076,0.000015726,0.004927319
4230.000,0.008021605,0.001833215,0.000015170,0.004927410
4260.000,0.008021648,0.001833348,0.000014634,0.004927498
4290.000,0.008021689,0.001833477,0.000014117,0.004927583
4320.000,0.008021728,0.001833601,0.000013619,0.004927665
