initialRegeneration,time,Down + Detected + Rej > 0
Up Clock @ error|0 waitClock|0,0,0.000000000
Up Clock @ error|0 waitClock|0,2,0.000000000
Up Clock @ error|0 waitClock|0,4,0.000000004
Up Clock @ error|0 waitClock|0,6,0.000000017
Up Clock @ error|0 waitClock|0,8,0.000000074
Up Clock @ error|0 waitClock|0,10,0.000000181
Up Clock @ error|0 waitClock|0,12,0.000000367
Up Clock @ error|0 waitClock|0,14,0.000000661
Up Clock @ error|0 waitClock|0,16,0.000001091
Up Clock @ error|0 waitClock|0,18,0.000001685
Up Clock @ error|0 waitClock|0,20,0.000002471
Up Clock @ error|0 waitClock|0,22,0.000003473
Up Clock @ error|0 waitClock|0,24,0.000004715
Up Clock @ error|0 waitClock|0,26,0.000006220
Up Clock @ error|0 waitClock|0,28,0.000008010
Up Clock @ error|0 waitClock|0,30,0.000010103
Up Clock @ error|0 waitClock|0,32,0.000012521
Up Clock @ error|0 waitClock|0,34,0.000015280
Up Clock @ error|0 waitClock|0,36,0.000018397
Up Clock @ error|0 waitClock|0,38,0.000021888
Up Clock @ error|0 waitClock|0,40,0.000025768
Up Clock @ error|0 waitClock|0,42,0.000030050
Up Clock @ error|0 waitClock|0,44,0.000034749
Up Clock @ error|0 waitClock|0,46,0.000039874
Up Clock @ error|0 waitClock|0,48,0.000045439
Up Clock @ error|0 waitClock|0,50,0.000051452
Up Clock @ error|0 waitClock|0,52,0.000057924
Up Clock @ error|0 waitClock|0,54,0.000064862
Up Clock @ error|0 waitClock|0,56,0.000072275
Up Clock @ error|0 waitClock|0,58,0.000080171
Up Clock @ error|0 waitClock|0,60,0.000088555
Up Clock @ error|0 waitClock|0,62,0.000097433
Up Clock @ error|0 waitClock|0,64,0.000106811
Up Clock @ error|0 waitClock|0,66,0.000116693
Up Clock @ error|0 waitClock|0,68,0.000127083
Up Clock @ error|0 waitClock|0,70,0.000137984
Up Clock @ error|0 waitClock|0,72,0.000149399
Up Clock @ error|0 waitClock|0,74,0.000161331
Up Clock @ error|0 waitClock|0,76,0.000173781
Up Clock @ error|0 waitClock|0,78,0.000186750
Up Clock @ error|0 waitClock|0,80,0.000200240
Up Clock @ error|0 waitClock|0,82,0.000214251
Up Clock @ error|0 waitClock|0,84,0.000228782
Up Clock @ error|0 waitClock|0,86,0.000243833
Up Clock @ error|0 waitClock|0,88,0.000259403
Up Clock @ error|0 waitClock|0,90,0.000275492
Up Clock @ error|0 waitClock|0,92,0.000292097
Up Clock @ error|0 waitClock|0,94,0.000309216
Up Clock @ error|0 waitClock|0,96,0.000326847
Up Clock @ error|0 waitClock|0,98,0.000344988
Up Clock @ error|0 waitClock|0,100,0.000363636
Up Clock @ error|0 waitClock|0,102,0.000382787
Up Clock @ error|0 waitClock|0,104,0.000402437
Up Clock @ error|0 waitClock|0,106,0.000422584
Up Clock @ error|0 waitClock|0,108,0.000443224
