initialRegeneration,time,Down + Detected + Rej > 0
Up Clock @ error|0 waitClock|0,0.0,0.000000000
Up Clock @ error|0 waitClock|0,1.0,0.000000000
Up Clock @ error|0 waitClock|0,2.0,0.000000000
Up Clock @ error|0 waitClock|0,3.0,0.000000001
Up Clock @ error|0 waitClock|0,4.0,0.000000003
Up Clock @ error|0 waitClock|0,5.0,0.000000010
Up Clock @ error|0 waitClock|0,6.0,0.000000022
Up Clock @ error|0 waitClock|0,7.0,0.000000045
Up Clock @ error|0 waitClock|0,8.0,0.000000097
Up Clock @ error|0 waitClock|0,9.0,0.000000193
Up Clock @ error|0 waitClock|0,10.0,0.000000343
Up Clock @ error|0 waitClock|0,11.0,0.000000564
Up Clock @ error|0 waitClock|0,12.0,0.000000878
Up Clock @ error|0 waitClock|0,13.0,0.000001308
Up Clock @ error|0 waitClock|0,14.0,0.000001884
Up Clock @ error|0 waitClock|0,15.0,0.000002635
Up Clock @ error|0 waitClock|0,16.0,0.000003597
Up Clock @ error|0 waitClock|0,17.0,0.000004808
Up Clock @ error|0 waitClock|0,18.0,0.000006309
Up Clock @ error|0 waitClock|0,19.0,0.000008145
Up Clock @ error|0 waitClock|0,20.0,0.000010364
Up Clock @ error|0 waitClock|0,21.0,0.000013016
Up Clock @ error|0 waitClock|0,22.0,0.000016155
Up Clock @ error|0 waitClock|0,23.0,0.000019837
Up Clock @ error|0 waitClock|0,24.0,0.000024121
Up Clock @ error|0 waitClock|0,25.0,0.000029068
Up Clock @ error|0 waitClock|0,26.0,0.000034744
Up Clock @ error|0 waitClock|0,27.0,0.000041215
Up Clock @ error|0 waitClock|0,28.0,0.000048549
Up Clock @ error|0 waitClock|0,29.0,0.000056820
Up Clock @ error|0 waitClock|0,30.0,0.000066100
Up Clock @ error|0 waitClock|0,31.0,0.000076465
Up Clock @ error|0 waitClock|0,32.0,0.000087995
Up Clock @ error|0 waitClock|0,33.0,0.000100770
Up Clock @ error|0 waitClock|0,34.0,0.000114871
Up Clock @ error|0 waitClock|0,35.0,0.000130385
Up Clock @ error|0 waitClock|0,36.0,0.000147396
Up Clock @ error|0 waitClock|0,37.0,0.000165993
Up Clock @ error|0 waitClock|0,38.0,0.000186267
Up Clock @ error|0 waitClock|0,39.0,0.000208309
Up Clock @ error|0 waitClock|0,40.0,0.000232212
Up Clock @ error|0 waitClock|0,41.0,0.000258072
Up Clock @ error|0 waitClock|0,42.0,0.000285985
Up Clock @ error|0 waitClock|0,43.0,0.000316050
Up Clock @ error|0 waitClock|0,44.0,0.000348366
Up Clock @ error|0 waitClock|0,45.0,0.000383033
Up Clock @ error|0 waitClock|0,46.0,0.000420156
Up Clock @ error|0 waitClock|0,47.0,0.000459837
Up Clock @ error|0 waitClock|0,48.0,0.000502180
Up Clock @ error|0 waitClock|0,49.0,0.000547294
Up Clock @ error|0 waitClock|0,50.0,0.000595284
Up Clock @ error|0 waitClock|0,51.0,0.000646258
Up Clock @ error|0 waitClock|0,52.0,0.000700328
Up Clock @ error|0 waitClock|0,53.0,0.000757602
Up Clock @ error|0 waitClock|0,54.0,0.000818193
Up Clock @ error|0 waitClock|0,55.0,0.000882213
Up Clock @ error|0 waitClock|0,56.0,0.000949775
Up Clock @ error|0 waitClock|0,57.0,0.001020993
Up Clock @ error|0 waitClock|0,58.0,0.001095983
Up Clock @ error|0 waitClock|0,59.0,0.001174859
Up Clock @ error|0 waitClock|0,60.0,0.001257739
Up Clock @ error|0 waitClock|0,61.0,0.001344739
Up Clock @ error|0 waitClock|0,62.0,0.001435976
Up Clock @ error|0 waitClock|0,63.0,0.001531571
Up Clock @ error|0 waitClock|0,64.0,0.001631640
Up Clock @ error|0 waitClock|0,65.0,0.001736304
Up Clock @ error|0 waitClock|0,66.0,0.001845682
Up Clock @ error|0 waitClock|0,67.0,0.001959896
Up Clock @ error|0 waitClock|0,68.0,0.002079065
Up Clock @ error|0 waitClock|0,69.0,0.002203310
Up Clock @ error|0 waitClock|0,70.0,0.002332754
Up Clock @ error|0 waitClock|0,71.0,0.002467519
Up Clock @ error|0 waitClock|0,72.0,0.002607725
Up Clock @ error|0 waitClock|0,73.0,0.002753496
Up Clock @ error|0 waitClock|0,74.0,0.002904955
Up Clock @ error|0 waitClock|0,75.0,0.003062224
Up Clock @ error|0 waitClock|0,76.0,0.003225426
Up Clock @ error|0 waitClock|0,77.0,0.003394685
Up Clock @ error|0 waitClock|0,78.0,0.003570123
Up Clock @ error|0 waitClock|0,79.0,0.003751865
Up Clock @ error|0 waitClock|0,80.0,0.003940033
Up Clock @ error|0 waitClock|0,81.0,0.004134751
Up Clock @ error|0 waitClock|0,82.0,0.004336142
Up Clock @ error|0 waitClock|0,83.0,0.004544330
Up Clock @ error|0 waitClock|0,84.0,0.004759439
Up Clock @ error|0 waitClock|0,85.0,0.004981591
Up Clock @ error|0 waitClock|0,86.0,0.005210910
Up Clock @ error|0 waitClock|0,87.0,0.005447520
Up Clock @ error|0 waitClock|0,88.0,0.005691543
Up Clock @ error|0 waitClock|0,89.0,0.005943102
Up Clock @ error|0 waitClock|0,90.0,0.006202319
Up Clock @ error|0 waitClock|0,91.0,0.006469318
Up Clock @ error|0 waitClock|0,92.0,0.006744221
Up Clock @ error|0 waitClock|0,93.0,0.007027149
Up Clock @ error|0 waitClock|0,94.0,0.007318224
Up Clock @ error|0 waitClock|0,95.0,0.007617569
Up Clock @ error|0 waitClock|0,96.0,0.007925304
Up Clock @ error|0 waitClock|0,97.0,0.008241550
Up Clock @ error|0 waitClock|0,98.0,0.008566427
Up Clock @ error|0 waitClock|0,99.0,0.008900057
Up Clock @ error|0 waitClock|0,100.0,0.009242558
Up Clock @ error|0 waitClock|0,101.0,0.009594051
Up Clock @ error|0 waitClock|0,102.0,0.009954654
Up Clock @ error|0 waitClock|0,103.0,0.010324486
Up Clock @ error|0 waitClock|0,104.0,0.010703665
Up Clock @ error|0 waitClock|0,105.0,0.011092309
Up Clock @ error|0 waitClock|0,106.0,0.011490536
Up Clock @ error|0 waitClock|0,107.0,0.011898461
Up Clock @ error|0 waitClock|0,108.0,0.012316203
Up Clock @ error|0 waitClock|0,109.0,0.012743876
Up Clock @ error|0 waitClock|0,110.0,0.013181595
Up Clock @ error|0 waitClock|0,111.0,0.013629477
Up Clock @ error|0 waitClock|0,112.0,0.014087634
Up Clock @ error|0 waitClock|0,113.0,0.014556181
Up Clock @ error|0 waitClock|0,114.0,0.015035230
Up Clock @ error|0 waitClock|0,115.0,0.015524895
Up Clock @ error|0 waitClock|0,116.0,0.016025287
Up Clock @ error|0 waitClock|0,117.0,0.016536518
Up Clock @ error|0 waitClock|0,118.0,0.017058699
Up Clock @ error|0 waitClock|0,119.0,0.017591939
Up Clock @ error|0 waitClock|0,120.0,0.018136348
Up Clock @ error|0 waitClock|0,121.0,0.018692035
Up Clock @ error|0 waitClock|0,122.0,0.019259109
Up Clock @ error|0 waitClock|0,123.0,0.019837677
Up Clock @ error|0 waitClock|0,124.0,0.020427845
Up Clock @ error|0 waitClock|0,125.0,0.021029720
Up Clock @ error|0 waitClock|0,126.0,0.021643408
Up Clock @ error|0 waitClock|0,127.0,0.022269014
Up Clock @ error|0 waitClock|0,128.0,0.022906641
Up Clock @ error|0 waitClock|0,129.0,0.023556393
Up Clock @ error|0 waitClock|0,130.0,0.024218372
Up Clock @ error|0 waitClock|0,131.0,0.024892682
Up Clock @ error|0 waitClock|0,132.0,0.025579422
Up Clock @ error|0 waitClock|0,133.0,0.026278695
Up Clock @ error|0 waitClock|0,134.0,0.026990598
Up Clock @ error|0 waitClock|0,135.0,0.027715232
Up Clock @ error|0 waitClock|0,136.0,0.028452694
Up Clock @ error|0 waitClock|0,137.0,0.029203083
Up Clock @ error|0 waitClock|0,138.0,0.029966495
Up Clock @ error|0 waitClock|0,139.0,0.030743026
Up Clock @ error|0 waitClock|0,140.0,0.031532771
Up Clock @ error|0 waitClock|0,141.0,0.032335825
Up Clock @ error|0 waitClock|0,142.0,0.033152280
Up Clock @ error|0 waitClock|0,143.0,0.033982231
Up Clock @ error|0 waitClock|0,144.0,0.034825770
Up Clock @ error|0 waitClock|0,145.0,0.035682986
Up Clock @ error|0 waitClock|0,146.0,0.036553972
Up Clock @ error|0 waitClock|0,147.0,0.037438816
Up Clock @ error|0 waitClock|0,148.0,0.038337608
Up Clock @ error|0 waitClock|0,149.0,0.039250435
Up Clock @ error|0 waitClock|0,150.0,0.040177384
Up Clock @ error|0 waitClock|0,151.0,0.041118543
Up Clock @ error|0 waitClock|0,152.0,0.042073996
Up Clock @ error|0 waitClock|0,153.0,0.043043829
Up Clock @ error|0 waitClock|0,154.0,0.044028125
Up Clock @ error|0 waitClock|0,155.0,0.045026967
Up Clock @ error|0 waitClock|0,156.0,0.046040438
Up Clock @ error|0 waitClock|0,157.0,0.047068619
Up Clock @ error|0 waitClock|0,158.0,0.048111591
Up Clock @ error|0 waitClock|0,159.0,0.049169433
Up Clock @ error|0 waitClock|0,160.0,0.050242225
Up Clock @ error|0 waitClock|0,161.0,0.051330043
Up Clock @ error|0 waitClock|0,162.0,0.052432967
Up Clock @ error|0 waitClock|0,163.0,0.053551071
Up Clock @ error|0 waitClock|0,164.0,0.054684433
Up Clock @ error|0 waitClock|0,165.0,0.055833125
Up Clock @ error|0 waitClock|0,166.0,0.056997223
Up Clock @ error|0 waitClock|0,167.0,0.058176798
Up Clock @ error|0 waitClock|0,168.0,0.059371924
Up Clock @ error|0 waitClock|0,169.0,0.060582672
Up Clock @ error|0 waitClock|0,170.0,0.061809112
Up Clock @ error|0 waitClock|0,171.0,0.063051314
Up Clock @ error|0 waitClock|0,172.0,0.064309346
Up Clock @ error|0 waitClock|0,173.0,0.065583276
