initialRegeneration,time,"If(Ko+Detected>0 || Rej>0,1,0)"
Ok Clock @ error|0 w|0,274,1.558423614
Ok Clock @ error|0 w|0,275,1.559035713
Ok Clock @ error|0 w|0,276,1.559640937
Ok Clock @ error|0 w|0,277,1.560242186
Ok Clock @ error|0 w|0,278,1.560842153
Ok Clock @ error|0 w|0,279,1.561443181
Ok Clock @ error|0 w|0,280,1.562047221
Ok Clock @ error|0 w|0,281,1.562655833
Ok Clock @ error|0 w|0,282,1.563270224
Ok Clock @ error|0 w|0,283,1.564870065
Ok Clock @ error|0 w|0,284,1.568215350
Ok Clock @ error|0 w|0,285,1.571869025
Ok Clock @ error|0 w|0,286,1.574304956
Ok Clock @ error|0 w|0,287,1.575590486
Ok Clock @ error|0 w|0,288,1.576387683
Ok Clock @ error|0 w|0,289,1.577071841
Ok Clock @ error|0 w|0,290,1.577746421
Ok Clock @ error|0 w|0,291,1.578427436
Ok Clock @ error|0 w|0,292,1.585658218
Ok Clock @ error|0 w|0,293,1.601974328
Ok Clock @ error|0 w|0,294,1.616517437
Ok Clock @ error|0 w|0,295,1.623199232
Ok Clock @ error|0 w|0,296,1.625275279
Ok Clock @ error|0 w|0,297,1.641658872
Ok Clock @ error|0 w|0,298,1.679382077
Ok Clock @ error|0 w|0,299,1.712832602
Ok Clock @ error|0 w|0,300,1.727644293
Ok Clock @ error|0 w|0,301,1.731568431
Ok Clock @ error|0 w|0,302,1.732656456
Ok Clock @ error|0 w|0,303,1.733386125
Ok Clock @ error|0 w|0,304,1.734096117
Ok Clock @ error|0 w|0,305,1.734804918
Ok Clock @ error|0 w|0,306,1.735513738
Ok Clock @ error|0 w|0,307,1.736223988
Ok Clock @ error|0 w|0,308,1.736937090
Ok Clock @ error|0 w|0,309,1.737654354
Ok Clock @ error|0 w|0,310,1.738376920
Ok Clock @ error|0 w|0,311,1.739105742
Ok Clock @ error|0 w|0,312,1.754616874
Ok Clock @ error|0 w|0,313,1.784901908
Ok Clock @ error|0 w|0,314,1.804829587
Ok Clock @ error|0 w|0,315,1.810391319
Ok Clock @ error|0 w|0,316,1.811515765
Ok Clock @ error|0 w|0,317,1.812212256
Ok Clock @ error|0 w|0,318,1.812900693
Ok Clock @ error|0 w|0,319,1.813582584
Ok Clock @ error|0 w|0,320,1.814260010
Ok Clock @ error|0 w|0,321,1.814935383
Ok Clock @ error|0 w|0,322,1.815611136
Ok Clock @ error|0 w|0,323,1.816289494
Ok Clock @ error|0 w|0,324,1.816972383
Ok Clock @ error|0 w|0,325,1.817661395
Ok Clock @ error|0 w|0,326,1.818357799
Ok Clock @ error|0 w|0,327,1.819062580
Ok Clock @ error|0 w|0,328,1.819776478
Ok Clock @ error|0 w|0,329,1.820500032
Ok Clock @ error|0 w|0,330,1.821233627
Ok Clock @ error|0 w|0,331,1.821977532
Ok Clock @ error|0 w|0,332,1.822731945
Ok Clock @ error|0 w|0,333,1.823497028
Ok Clock @ error|0 w|0,334,1.824272928
Ok Clock @ error|0 w|0,335,1.827589831
Ok Clock @ error|0 w|0,336,1.835410255
Ok Clock @ error|0 w|0,337,1.844018131
Ok Clock @ error|0 w|0,338,1.849468679
Ok Clock @ error|0 w|0,339,1.851936307
Ok Clock @ error|0 w|0,340,1.853131949
Ok Clock @ error|0 w|0,341,1.854025116
Ok Clock @ error|0 w|0,342,1.854882868
Ok Clock @ error|0 w|0,343,1.855746326
Ok Clock @ error|0 w|0,344,1.856619133
Ok Clock @ error|0 w|0,345,1.857501784
Ok Clock @ error|0 w|0,346,2.000131129
Ok Clock @ error|0 w|0,347,2.284495097
Ok Clock @ error|0 w|0,348,2.443092985
Ok Clock @ error|0 w|0,349,2.474812537
Ok Clock @ error|0 w|0,350,2.509043593
Ok Clock @ error|0 w|0,351,2.538065266
Ok Clock @ error|0 w|0,352,2.551010134
Ok Clock @ error|0 w|0,353,2.554560495
Ok Clock @ error|0 w|0,354,2.555653900
Ok Clock @ error|0 w|0,355,2.556426656
Ok Clock @ error|0 w|0,356,2.557172963
Ok Clock @ error|0 w|0,357,2.557911092
Ok Clock @ error|0 w|0,358,2.558644076
Ok Clock @ error|0 w|0,359,2.559374739
Ok Clock @ error|0 w|0,360,2.560105540
Ok Clock @ error|0 w|0,361,2.560838521
Ok Clock @ error|0 w|0,362,2.577281372
Ok Clock @ error|0 w|0,363,2.615076578
Ok Clock @ error|0 w|0,364,2.647867063
Ok Clock @ error|0 w|0,365,2.661917215
Ok Clock @ error|0 w|0,366,2.665581794
Ok Clock @ error|0 w|0,367,2.666648688
Ok Clock @ error|0 w|0,368,2.667394839
Ok Clock @ error|0 w|0,369,2.668122820
Ok Clock @ error|0 w|0,370,2.668848931
Ok Clock @ error|0 w|0,371,2.669574105
Ok Clock @ error|0 w|0,372,2.670299526
Ok Clock @ error|0 w|0,373,2.671026436
Ok Clock @ error|0 w|0,374,2.671756007
Ok Clock @ error|0 w|0,375,2.672489282
Ok Clock @ error|0 w|0,376,2.673227151
Ok Clock @ error|0 w|0,377,2.673970349
Ok Clock @ error|0 w|0,378,2.674828182
Ok Clock @ error|0 w|0,379,2.675927638
Ok Clock @ error|0 w|0,380,2.677146540
Ok Clock @ error|0 w|0,381,2.678257077
Ok Clock @ error|0 w|0,382,2.679194648
Ok Clock @ error|0 w|0,383,2.680028945
Ok Clock @ error|0 w|0,384,2.680830601
Ok Clock @ error|0 w|0,385,2.681630373
Ok Clock @ error|0 w|0,386,2.682436300
